Z,X,Y
11.16005857796995,0.5,0.5
10.31741004458609,10.5,0.5
9.735908075659786,20.5,0.5
10.31062144976058,30.5,0.5
10.82161528726139,40.5,0.5
10.911446679364877,50.5,0.5
11.096430589290497,60.5,0.5
11.692880192638011,70.5,0.5
11.8657966824216,80.5,0.5
10.362276544808774,90.5,0.5
8.880163000764286,100.5,0.5
9.402013465813493,110.5,0.5
10.47246204464214,120.5,0.5
12.418596252143034,130.5,0.5
12.45157005029464,140.5,0.5
11.43689224919229,150.5,0.5
11.227916263082939,160.5,0.5
9.224378358378594,170.5,0.5
11.088120186270114,180.5,0.5
10.742800717470036,190.5,0.5
10.870355148545706,200.5,0.5
10.423245627692886,210.5,0.5
8.314669745302055,220.5,0.5
8.452112832222438,230.5,0.5
10.246354319933339,240.5,0.5
11.583621294768612,250.5,0.5
10.328647923031347,260.5,0.5
12.004976831486172,270.5,0.5
12.244257669012432,280.5,0.5
11.635173504164577,290.5,0.5
10.345230095101977,300.5,0.5
9.738974458413912,310.5,0.5
9.892717540714626,320.5,0.5
9.3171980243601,330.5,0.5
8.69195302488715,340.5,0.5
9.97198704594048,350.5,0.5
9.771481396146017,360.5,0.5
10.152101021980839,370.5,0.5
10.211750038602593,380.5,0.5
9.666254412357196,390.5,0.5
9.397579486165736,400.5,0.5
9.625889661170977,410.5,0.5
9.527289756000512,420.5,0.5
9.77955111726082,430.5,0.5
8.526909071968365,440.5,0.5
8.628332186920922,450.5,0.5
9.357051436076265,460.5,0.5
10.77776949601803,470.5,0.5
11.530715483795285,480.5,0.5
11.60240952936077,490.5,0.5
11.087599759932012,500.5,0.5
10.836037283810688,510.5,0.5
9.20513291390891,520.5,0.5
9.798481585116303,530.5,0.5
8.880328370027524,540.5,0.5
9.140582922549795,550.5,0.5
8.899961607262727,560.5,0.5
9.722819452099186,570.5,0.5
9.762557993107125,580.5,0.5
10.092950253871988,590.5,0.5
9.116986686739079,600.5,0.5
9.587026725509473,610.5,0.5
8.446511845276042,620.5,0.5
7.935665831617964,630.5,0.5
8.716782624467903,640.5,0.5
9.641205711540954,650.5,0.5
11.043641043988666,660.5,0.5
11.839484346573894,670.5,0.5
9.97455877518529,680.5,0.5
9.798345530669454,690.5,0.5
10.010444282646938,700.5,0.5
10.013059163895324,710.5,0.5
8.734140032273222,720.5,0.5
9.32771622860513,730.5,0.5
10.000004634367173,740.5,0.5
10.050008283817885,750.5,0.5
9.178359432468179,760.5,0.5
9.14555165767496,770.5,0.5
9.27850915981001,780.5,0.5
8.99692101434492,790.5,0.5
9.080550628985879,800.5,0.5
9.39157344259949,810.5,0.5
9.383673752811248,820.5,0.5
9.554803004683762,830.5,0.5
10.131835879047575,840.5,0.5
10.168525638666145,850.5,0.5
11.079114007652537,860.5,0.5
11.219987741011186,870.5,0.5
10.982763039005494,880.5,0.5
9.67570149962561,890.5,0.5
9.65190326861842,900.5,0.5
10.324885004307895,910.5,0.5
10.488353721039486,920.5,0.5
10.17017787988186,930.5,0.5
10.418578958579321,940.5,0.5
9.56529146737865,950.5,0.5
9.816977481725107,960.5,0.5
9.45863722642571,970.5,0.5
10.560534313031807,980.5,0.5
9.832898426019455,990.5,0.5
11.458729870328076,0.5,10.5
11.747731434144386,10.5,10.5
9.617185417178439,20.5,10.5
8.899239237962547,30.5,10.5
9.186867974633318,40.5,10.5
10.511226456296582,50.5,10.5
11.146286600911907,60.5,10.5
12.001125926275375,70.5,10.5
11.165559481654064,80.5,10.5
10.021760993914018,90.5,10.5
9.85897800766399,100.5,10.5
9.552703389993935,110.5,10.5
11.463515072217055,120.5,10.5
12.169458570472262,130.5,10.5
11.050581569755964,140.5,10.5
10.695432125796659,150.5,10.5
9.590042775650849,160.5,10.5
9.845904334563727,170.5,10.5
10.310288937171032,180.5,10.5
11.04147029749496,190.5,10.5
10.413412187449266,200.5,10.5
9.47051256289413,210.5,10.5
8.994389291027547,220.5,10.5
8.111443720207124,230.5,10.5
10.165099692116762,240.5,10.5
10.67782401521593,250.5,10.5
9.736045386231188,260.5,10.5
10.646583473467754,270.5,10.5
10.475764026241256,280.5,10.5
10.666647766760939,290.5,10.5
9.210926156994153,300.5,10.5
9.204669657523002,310.5,10.5
10.551216303661278,320.5,10.5
8.8083136198338,330.5,10.5
8.254348836611403,340.5,10.5
8.208832738059376,350.5,10.5
